Remove,Enlever
"Enter gift card code","Entrez le code de la carte de réduction"
"Redeem Gift Card","Échanger la carte cadeau"
"Check status and balance","Vérifier l'état et le solde"
"Have a gift card? <a href=""%1"">Click here</a> to redeem it.","Have a gift card? <a href=""%1"">Click here</a> to redeem it."
"Enter the gift card code","Entrer le code de carte cadeau"
"Check Gift Card status and balance","Vérifier l'état de la carte cadeau et le solde"
"Gift Card: %1","Gift Card: %1"
"Current Balance: %1","Current Balance: %1"
"Expires: %1","Expires: %1"
"Please correct the wrong or expired Gift Card Code.","Please correct the wrong or expired Gift Card Code."
"To add or remove gift cards, <a href=""%1"">click here</a>.","To add or remove gift cards, <a href=""%1"">click here</a>."
"Gift Card amount applied to order: %1","Gift Card amount applied to order: %1"
CSV,CSV
"Excel XML","Excel XML"
"Code Length","Code Length"
"Excluding prefix, suffix and separators.","Excluding prefix, suffix and separators."
"Code Format","Code Format"
"Code Prefix","Code Prefix"
"Code Suffix","Code Suffix"
"Dash Every X Characters","Dash Every X Characters"
"Email Sent from Gift Card Account Management","Email Sent from Gift Card Account Management"
"Gift Card Email Sender","Gift Card Email Sender"
"Gift Card Template","Gift Card Template"
"Gift Card Account General Settings","Gift Card Account General Settings"
"if empty no separation","if empty no separation"
"New Pool Size","New Pool Size"
"Low Code Pool Threshold","Low Code Pool Threshold"
"IMPORTANT: Be sure to save your configuration before running generation process.","IMPORTANT: Be sure to save your configuration before running generation process."
"Are you sure you want to delete these gift card accounts?","Êtes-vous sûr(e) de vouloir effacer ces comptes de carte cadeau?"
