City,By
Continue Shopping,Køb flere varer
Manage Addresses,Administrer adresser
View Order List,Se ordreoversigt
Change Billing Address,Rediger betalingsadresse
Items Order,Ordreoversigter
Primary Shipping Address,Primær leveringsadresse
* Required Fields,* Skal udfyldes
You have no primary entries in your address book.,Du har ikke nogen primære adresser i din adressebog.
From your My Account Dashboard you have the ability to view a snapshot of your recent account activity. Select a link below to view.,Fra kontooversigten har du mulighed for at få overblik over de seneste bevægelser på din konto.
Default Shipping Address,Standard leveringsadresse
New Customers,Nye kunder
Save Address,Gem adresse
Use as my default shipping address,Brug min standard <strong>leveringsadresse</strong>
You are currently subscribed to our newsletter.,Du er tilmeldt vores nyhedsbrev
Change Password,Skift kodeord
You have placed no orders yet.,Ingen ordrer endnu...
Account Information,Log ind-oplysninger
Back,Tilbage
Save Password,Gem kodeord
Please enter your email below and we\'ll send you a new password.,Indtast venligst din e-mail nedenfor og vi vil sende dig et nyt kodeord
Sign up for our newsletter,Tilmeld dig vores nyhedsbrev
Order #%s (%s),Ordre #%s (%s)
Contact Information,Kontaktinformation
Primary Billing Address,Primær betalingsadresse
Order List...,Ordreoversigt
Status,Status
Order #,Ordre #
My Reviews,Mine bedømmelser
New Password,Nyt kodeord
Date,Dato
Login or Create an Account,Log ind eller opret en konto
Shipping Method,Forsendelsesmetode
Confirm New Password,Bekræft nyt kodeord
Shipping Information,Forsendelsesinformation
You are currently subscribed to no newsletters.,Du er ikke tilmeldt vores nyhedsbrev
"If you have an account with us, please log in.","Har du allerede en konto hos os, kan du logge på her."
General Subscription,Generelt nyhedsbrev
Last 5 Orders,Sidste 5 ordrer
Login Information,Log-ind information
New Address Entry,Indtast ny adresse
Qty,Antal
Shoppping Cart,Indkøbskurv
"Hello, %s!",Velkommen %s!
Personal Information,Personlig information
Submit,Gennemfør
Default Addresses,Adresser (standard)
Details,Detaljer
"Please select region, state or province",Vælg venligst region
Product,Produkt
Delete Address,Slet adresse
Price,Pris
This is My Primary %s Address,Dette er min primære <strong>%s </strong> adresse
Street Address 2,Gade/vej (2)
Address,Gade/vej
To Cart,Gå til din indkøbskurv
Password,Kodeord
Wishlist,Ønskeseddel
Go to Address Book,Gå til adressebog
You have been successfully logged out and will be redirected to our homepage in 5 seconds.,Du er blevet logget ud og vil blive sendt til vores forside indenfor 5 sekunder.
Email Address,E-mailadresse
Remove,Fjern
You have no default billing address in your address book.,Du har ikke en standard betalingsadresse i din adressebog
Create an Account,Opret konto
Total,Total
Addresses,Adresser
Subscribe,Tilmeld
You have no default shipping address in your address book.,Du har ikke en standard leveringsadresse i din adressebog
Change Shipping Address,Rediger leveringsadresse
Retrieve your password here,Få dit kodeord tilsendt her
Newsletter,Nyhedsbrev
Save Subscription,Gem tilmelding
